Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
"Preeti Makeup Artist (Hairstyle, Saree Draping & Saree Box Folding, Saree Box-Folding Classes,Saree Pre-Pleating, Makeup)",062814 27271,"Takara Basthi, Yaadein Nagar, Old Ghasmandi, Shivaji Nagar, Hyderabad, Secunderabad, Telangana 500003, India",5,30,https://www.instagram.com/avanthirakela_makeupartist?igsh=MXJ1MnNpZzR0OHFi,17.4320841,78.4937655
Sejal Agrawal Professional Makeup Artist,063756 71795,"204 Matrix Marigold Apartment, near Swiss Castle Bakery, Kondapur, Raghavendra Colony, Gachibowli, Hyderabad, Telangana 500084, India",5,14,,17.4680386,78.3586668
"VS Academy (Beauty, Makeup, Hair, Nail) Training Institute in Hyderabad",,"3rd floor, Flat no 303, A Block, Prabhath Signature, Hmt Sathavahana Nagar, Kukatpally, Hyderabad, Telangana 500072, India",4.9,18,http://www.vsacademyhyd.com/,17.497037,78.40155299999999
Shubhangi Glam Touch – Mehendi & Makeup Artist,,"Cross Road, near SVS Hospital, Mahalaxmi Nilayam, Chappal Bazar, Kachiguda, Hyderabad, Telangana 500027, India",5,5,https://glowbyshubhangi.sbs/,17.3866394,78.4947286
"Ever Glow Makeup, Hair & Beauty Academy",,"2nd Floor, Sr digi school, BJP Office Rd, opposite building, Shanthi Nagar, Kukatpally, Hyderabad, Telangana 500072, India",5,20,,17.4851267,78.4146679
Nikitha reddy Makeup artist,090100 79997,"Sri Vinayaka Nagar Colony, KTR Colony, Venkatraya Nagar, Nizampet, Hyderabad, Telangana 500090, India",4.9,14,http://nikithareddy.com/,17.5146092,78.37787949999999
Orane International School of Beauty And Wellness Hyderabad,091548 36649,"2nd Floor, NH 65, MIG-230, above IDBI Bank, opposite Metro Pillar No. A741, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.7,285,https://www.oranehyderabad.in/,17.4941348,78.3999825
The Glossy Looks - Kondapur - Beauty and Hair styling Women's Salon & wedding bridal Makeup Artist,091547 44608,"2-24/1, Kondapur, Hanuman Nagar, Prashanth Nagar Colony, Kondapur, Kothaguda, Hyderabad, Telangana 500084, India",4.9,1143,http://glossylooks.in/,17.4625249,78.3659134
Laxmi Makeup Artist,090108 20596,"Balaji Layout, Sri Balaji Layout, Gajularamaram, Hyderabad, Telangana 500117, India",5,5,,17.5288,78.42234409999999
Dusky Makeover Studio and Makeup training academy,080191 20569,"Plot no 544, Flat no 202, Shiva Sai Murali Ramaneeyam, near peacock junction, Pragathi Nagar, Nizampet, Hyderabad, Telangana 500090, India",4.8,56,,17.5168479,78.39584479999999
Visual Delight19 Makeup Artist,072594 71991,"7359, Janapriya Metropolis Apts, Moti Nagar, Erragadda, Hyderabad, Telangana 500114, India",5,26,https://www.instagram.com/visualdelight19makeupartist?igsh=c2hyc3Vzemc1dDRo,17.4556247,78.42936329999999
Isha Mehandi Artist And Makeup Artist Hyderabad,084838 62884,"Flat no 410, gerbera block, BHANU TOWNSHIP, Allwyn X Road, Prajay City, Hafeezpet, Miyapur, Hyderabad, Telangana 500049, India",4.7,71,,17.491495,78.35558870000001
HK Permanent Makeup Clinic,090523 39052,"metro station, Plot no 14, Road No. 1, beside JNTU Road, Vasant Nagar, Hydernagar, Kukatpally, Hyderabad, Telangana 500085, India",4.7,2953,http://hkpmuclinic.com/,17.4984676,78.3873675
Glow Makeover,,"Block-A, 408, Vazhraa Prathik Rd, Madhura Nagar, Nizampet, Hyderabad, Telangana 500090, India",5,7,,17.5147136,78.3856028
