Salon Name,Phone,Address,Rating,Reviews,Website,Latitude,Longitude
GR8 Hands Luxury Unisex Salon,090002 65531,"Lakshmi arcade, Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085, India",5,296,,17.4803446,78.3943101
Lotus professional beauty salon,070136 57647,"MIG- B-17-1, near D-Mart, Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085, India",4.5,49,,17.4794318,78.392919
PJ hair & beauty unisex salon,084089 11456,"221 LIG , Fisherman Bar & restaurant to vencob Chicken center road, Kukatpally Housing Board Colony, K P H B Phase 7, Kukatpally, Hyderabad, Telangana 500085, India",4.9,143,https://tapmo.me/makeupartist-jairam,17.4743711,78.38773630000001
"Manea the salon- KPHB, Phase 15",084668 68788,"1st Floor, Kapil’s Plaza, Green Hills Rd, beside cakes & florets, KPHB Phase 15, Kukatpally, Hyderabad, Telangana 500085, India",4.8,382,http://www.maneathesalon.com/kphb15manea,17.468034,78.39571459999999
Jack & Jolie Unisex Makeover Studio,077300 44545,"Plot no 15, HIG, Lodha Rd, above Yard Bakery, Kukatpally Housing Board Colony, KPHB 5th Phase, Kukatpally, Hyderabad, Telangana 500085, India",4.6,234,,17.4805957,78.3938807
Sree Lalitha Beauty parlor,095155 24744,"Plot no 297 Nvsr Nilayam Road 3 venkataramana colony, beside KVL Badminton court, 9th Phase, VNR Residency, Venkata Ramana Colony, Kukatpally, Hyderabad, Telangana 500085, India",5,88,,17.4914143,78.380304
"Green Trends Salon, Kukatpally, Hyderabad",078937 49996,"House No 2-31/1, Plot No 9, Second Floor, Nizampet Rd, beside Sangamitra School, Jai Bharat Nagar, Nagarjuna Homes, Kukatpally, Hyderabad, Telangana 500085, India",4.7,3638,,17.5030314,78.3883352
Greatful Head Salon,096766 22016,"MIG-578, 3rd Phase Road - Note: We don't have any branches Phase - II, KPHB Cir, Kukatpally Housing Board Colony, KPHB Phase 2, Kukatpally, Hyderabad, Telangana 500072, India",4.6,582,,17.483046,78.3941947
"Manea the salon-13th Phase, KPHB",096660 51328,"1750,Sri Venkateswara Residency Gokul Plots, land mark, Prajay Megapolis, 13th Phase Rd, Kukatpally Housing Board Colony, Kukatpally, Hyderabad, Telangana 500085, India",4.6,423,,17.4834527,78.380653
Tiana's Beauty Lounge(Only for Ladies),095055 54455,"MSV Balaiah Residency, 4-35-530/B, Madhavaram Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",5,14,,17.4988557,78.4178556
VANI's BEAUTY PARLOUR,077029 09993,"SHOP NO.1 A, Sterling Emerald Complex, PLOT NO-118, LANE, beside TELANGANA OFFICE, opp. KPHB COLONY, Bhagya Nagar Colony, Kukatpally, Hyderabad, Telangana 500072, India",4.8,39,,17.4953261,78.4019555
Vave Salon Kphb Colony,081065 49696,"Phase 1, H.No 219/ HIG, Rythubazar Rd, opp. Sri Sri Sri Laxmi Ganpathi Temple, Kukatpally Housing Board Colony, K P H B Phase 1, Kukatpally, Hyderabad, Telangana 500072, India",4.6,164,https://www.vavesalon.com/,17.4913924,78.3987331
Sri Suda's Beauty Spa And Saloon. Makeup artist (Only For Ladies),092901 08533,"Gokul Plots, 9th Phase Rd, Venkata Ramana Colony, Roja Raja Nilayam, K P H B Phase 9, Hafeezpet, Hyderabad, Telangana 500085, India",4.7,48,https://instagram.com/rekhamakeup_artist?igshid=NzZlODBkYWE4Ng%3D%3D&utm_source=qr,17.4888211,78.380592
